Number of trials,Duration of trials,No. of fixations per trial,Duration of fixations,Dispersion horizontal,Dispersion vertical,Peak velocity horizontal,Peak velocity vertical,user_code,,phase_code,,,,,,,,,
1,263916.6667,561,390.8496732,5.523852228,4.622223529,-0.011883541,0.496732026,1,yannek,1,rhexis,NA,NA,NA,647.3070367,8.693468817,6.673435934,3.025939018,2.408368186
1,263950,602,350.8028793,5.927116279,5.001106977,-0.119047619,0.681616833,2,daniel,1,rhexis,NA,NA,NA,458.6757421,8.394770001,6.772721396,3.80512334,3.360930932
1,263950,526,408.1749049,5.804501141,5.788998669,-0.18504436,0.967680608,3,george,1,rhexis,NA,NA,NA,583.581105,7.456966787,7.354269403,3.026370909,2.970634234
1,263950,579,370.7253886,4.860913644,5.513872193,-0.037996546,1.280368451,4,monique,1,rhexis,NA,NA,NA,480.1593389,6.523883453,7.225143603,2.99857318,3.257407543
1,263950,490,453.707483,6.264741429,6.017137143,-0.140816327,0.910204082,5,mara,1,rhexis,NA,NA,NA,722.1126574,8.409896327,8.926200628,3.163303314,2.87876842
1,263666.6667,574,377.5551684,5.318246341,4.831364634,0.087688734,0.62369338,6,emily,1,rhexis,NA,NA,NA,649.6161695,6.781294538,7.030073059,3.276442289,2.747924276
1,267966.6667,673,317.6077266,4.121393016,3.20862838,-0.228826152,0.737493809,1,yannek,2,phaco,NA,NA,NA,455.5279649,5.042832753,3.854240594,3.00546094,2.282308278
1,267983.3333,650,322.3589744,4.088934769,4.474030615,-0.174615385,0.462820513,2,daniel,2,phaco,NA,NA,NA,545.2751789,5.869526354,5.595201649,3.025737918,3.331693574
1,267983.3333,611,347.8177851,5.136929951,4.825527332,-0.166121113,1.443262411,3,george,2,phaco,NA,NA,NA,491.9115929,7.856629409,6.282051997,3.491545823,3.134414355
1,267983.3333,663,308.4213172,2.918985219,3.505987481,-0.390648567,1.031925591,4,monique,2,phaco,NA,NA,NA,497.7718613,3.698588443,4.762460041,2.358940845,2.610841528
1,267816.6667,600,366.5833333,5.678769833,4.450682833,0.069166667,0.817222222,5,mara,2,phaco,NA,NA,NA,544.3223861,7.793891121,5.683909048,3.691558556,2.951537657
1,267983.3333,618,341.5857605,3.299464725,3.42621343,0.21197411,0.40776699,6,emily,2,phaco,NA,NA,NA,791.5922327,4.429686731,6.559532073,2.527432154,2.216276758
1,178983.3333,426,335.6416275,6.600354225,4.38689507,-0.248435055,0.946791862,1,yannek,3,cortex,NA,NA,NA,424.9635345,7.922261353,5.260866559,4.624773179,2.853052283
1,178983.3333,440,314.2045455,5.393519091,4.717363636,0.470454545,0.672727273,2,daniel,3,cortex,NA,NA,NA,465.1138865,7.193639216,6.789912034,4.15380835,3.692559044
1,178783.3333,398,356.3232831,6.85050603,7.427279648,-0.43718593,1.719430486,3,george,3,cortex,NA,NA,NA,484.7187007,11.1919527,10.78251104,4.475291085,4.738428911
1,178983.3333,475,290.3508772,5.227595579,5.348804632,-0.658947368,0.936491228,4,monique,3,cortex,NA,NA,NA,376.5994095,7.036640475,7.211866589,4.366696333,4.34117022
1,178983.3333,375,391.9555556,7.225204,6.983375467,0.072,0.890222222,5,mara,3,cortex,NA,NA,NA,567.5046476,9.76356815,8.374310471,4.290322125,3.989944928
1,178983.3333,385,373.4199134,4.312376364,4.484383636,-0.030735931,0.8,6,emily,3,cortex,NA,NA,NA,476.0183328,4.988743402,6.001197773,3.083871792,2.887472944
1,123983.3333,324,297.3251029,3.802594444,3.030025617,-0.268004115,0.519032922,1,yannek,4,core_vitr,NA,NA,NA,424.7762461,4.679009102,3.913005968,3.098059403,2.143316559
