frame_tooltip,,,x_tooltip,y_tooltip,
28.0,Vitrector_tooltip,0,733,487,0.84872156
28.0,Vitrector_tooltip,0,733,488,0.8506334
32.0,Vitrector_tooltip,0,734,488,0.8587172
34.0,Vitrector_tooltip,0,733,488,0.81553686
36.0,Vitrector_tooltip,0,732,488,0.7477328
38.0,Vitrector_tooltip,0,732,489,0.6550431
40.0,Vitrector_tooltip,0,731,490,0.595074
42.0,Vitrector_tooltip,0,728,489,0.6121608
44.0,Vitrector_tooltip,0,728,490,0.64510393
44.0,Vitrector_tooltip,0,683,537,0.11332399
44.0,Vitrector_tooltip,0,728,490,0.6777831
48.0,Vitrector_tooltip,0,682,537,0.12090346
48.0,Vitrector_tooltip,0,728,490,0.70887583
50.0,Vitrector_tooltip,0,682,537,0.12400992
50.0,Vitrector_tooltip,0,728,490,0.72825694
52.0,Vitrector_tooltip,0,681,537,0.12170509
52.0,Vitrector_tooltip,0,727,490,0.7351564
54.0,Vitrector_tooltip,0,681,537,0.11716463
54.0,Vitrector_tooltip,0,726,489,0.73824626
54.0,Vitrector_tooltip,0,681,537,0.11403509
54.0,Vitrector_tooltip,0,726,489,0.7210351
58.0,Vitrector_tooltip,0,680,536,0.10389356
58.0,Vitrector_tooltip,0,726,490,0.7004413
60.0,Vitrector_tooltip,0,725,491,0.66313267
60.0,Vitrector_tooltip,0,679,537,0.10557986
60.0,Vitrector_tooltip,0,725,492,0.59846175
62.0,Vitrector_tooltip,0,678,538,0.113825105
62.0,Vitrector_tooltip,0,725,492,0.5827188
64.0,Vitrector_tooltip,0,725,493,0.48631838
66.0,Vitrector_tooltip,0,725,494,0.4172693
70.0,Vitrector_tooltip,0,725,494,0.4367
72.0,Vitrector_tooltip,0,724,494,0.46289706
72.0,Vitrector_tooltip,0,724,493,0.5400414
74.0,Vitrector_tooltip,0,724,492,0.58452463
78.0,Vitrector_tooltip,0,723,492,0.602302
80.0,Vitrector_tooltip,0,723,491,0.63062716
82.0,Vitrector_tooltip,0,724,492,0.6066567
84.0,Vitrector_tooltip,0,723,492,0.59160703
84.0,Vitrector_tooltip,0,723,492,0.594133
86.0,Vitrector_tooltip,0,724,492,0.6033311
90.0,Vitrector_tooltip,0,723,492,0.6515025
92.0,Vitrector_tooltip,0,724,492,0.6886863
94.0,Vitrector_tooltip,0,724,492,0.6887203
96.0,Vitrector_tooltip,0,724,492,0.6495203
96.0,Vitrector_tooltip,0,724,492,0.64998156
98.0,Vitrector_tooltip,0,724,492,0.63969594
102.0,Vitrector_tooltip,0,724,492,0.6653724
102.0,Vitrector_tooltip,0,725,492,0.6783614
104.0,Vitrector_tooltip,0,725,492,0.68094254
106.0,Vitrector_tooltip,0,724,491,0.67008215
108.0,Vitrector_tooltip,0,724,491,0.60603774
112.0,Vitrector_tooltip,0,724,491,0.62712973
114.0,Vitrector_tooltip,0,724,492,0.6303708
114.0,Vitrector_tooltip,0,715,496,0.121755235
114.0,Vitrector_tooltip,0,724,492,0.5980927
116.0,Vitrector_tooltip,0,715,497,0.12589458
116.0,Vitrector_tooltip,0,724,492,0.58401084
120.0,Vitrector_tooltip,0,714,497,0.1233496
120.0,Vitrector_tooltip,0,724,492,0.60138285
120.0,Vitrector_tooltip,0,715,497,0.11733851
120.0,Vitrector_tooltip,0,724,492,0.597029
122.0,Vitrector_tooltip,0,715,497,0.108669095
122.0,Vitrector_tooltip,0,724,492,0.6112557
126.0,Vitrector_tooltip,0,725,492,0.59356815
128.0,Vitrector_tooltip,0,725,492,0.5629455
128.0,Vitrector_tooltip,0,725,492,0.5144592
132.0,Vitrector_tooltip,0,724,492,0.50403875
132.0,Vitrector_tooltip,0,724,491,0.5810023
136.0,Vitrector_tooltip,0,723,491,0.6145342
136.0,Vitrector_tooltip,0,724,491,0.57107323
138.0,Vitrector_tooltip,0,724,491,0.53409165
140.0,Vitrector_tooltip,0,725,491,0.55277663
144.0,Vitrector_tooltip,0,724,491,0.54176027
146.0,Vitrector_tooltip,0,724,491,0.56213915
146.0,Vitrector_tooltip,0,724,491,0.5437312
148.0,Vitrector_tooltip,0,723,490,0.5480617
150.0,Vitrector_tooltip,0,724,490,0.56040317
154.0,Vitrector_tooltip,0,723,490,0.6356976
156.0,Vitrector_tooltip,0,723,491,0.6847882
158.0,Vitrector_tooltip,0,723,491,0.65443784
160.0,Vitrector_tooltip,0,723,491,0.6632946
160.0,Vitrector_tooltip,0,724,491,0.66531813
162.0,Vitrector_tooltip,0,724,491,0.6603462
164.0,Vitrector_tooltip,0,724,491,0.67562634
166.0,Vitrector_tooltip,0,724,491,0.6828729
168.0,Vitrector_tooltip,0,724,492,0.7822446
172.0,Vitrector_tooltip,0,724,492,0.6529466
174.0,Vitrector_tooltip,0,723,492,0.65065765
174.0,Vitrector_tooltip,0,723,492,0.60057914
176.0,Vitrector_tooltip,0,723,492,0.6329424
180.0,Vitrector_tooltip,0,723,493,0.6071561
180.0,Vitrector_tooltip,0,723,493,0.6138901
184.0,Vitrector_tooltip,0,723,493,0.6118852
186.0,Vitrector_tooltip,0,723,493,0.6287885
186.0,Vitrector_tooltip,0,723,493,0.6135539
188.0,Vitrector_tooltip,0,723,492,0.66257006
192.0,Vitrector_tooltip,0,724,492,0.66968983
194.0,Vitrector_tooltip,0,723,492,0.6792166
196.0,Vitrector_tooltip,0,723,492,0.6940771
196.0,Vitrector_tooltip,0,723,492,0.7069882
198.0,Vitrector_tooltip,0,723,492,0.6990461
200.0,Vitrector_tooltip,0,723,492,0.7076459
202.0,Vitrector_tooltip,0,723,492,0.6812272
206.0,Vitrector_tooltip,0,723,491,0.6954844
208.0,Vitrector_tooltip,0,723,492,0.69209045
210.0,Vitrector_tooltip,0,723,492,0.7249828
212.0,Vitrector_tooltip,0,723,491,0.74743754
212.0,Vitrector_tooltip,0,723,491,0.78250515
214.0,Vitrector_tooltip,0,722,491,0.76179874
216.0,Vitrector_tooltip,0,722,491,0.73400027
218.0,Vitrector_tooltip,0,721,492,0.66325575
222.0,Vitrector_tooltip,0,719,492,0.8061561
224.0,Vitrector_tooltip,0,719,493,0.848779
224.0,Vitrector_tooltip,0,718,494,0.662737
226.0,Vitrector_tooltip,0,718,495,0.48025614
230.0,Vitrector_tooltip,0,720,498,0.6039821
232.0,Vitrector_tooltip,0,720,499,0.6112347
234.0,Vitrector_tooltip,0,721,500,0.67452276
236.0,Vitrector_tooltip,0,722,502,0.4813436
236.0,Vitrector_tooltip,0,724,504,0.30910707
238.0,Vitrector_tooltip,0,730,506,0.3550851
240.0,Vitrector_tooltip,0,730,506,0.4635775
242.0,Vitrector_tooltip,0,730,506,0.5433669
244.0,Vitrector_tooltip,0,731,505,0.64187014
